ID_Equipo;Tiene_IMU;Tiene_Camara;Canales_GNSS;Memoria;SIM_4G;Laser;Bateria_Intercambiable;Bateria_Caliente;MP_Camara;Radio_Frecuencia;Constelaciones;Autonomia_Bateria;Peso_Max;Tiempo_Inicializacion;RTK_Horizontal_mm;RTK_Vertical_mm;RTK_PPM_H;RTK_PPM_V;STATIC_Horizontal_mm;STATIC_Vertical_mm;STATIC_PPM_H;STATIC_PPM_V;Largo_mm;Ancho_mm;Alto_mm;GPS;GLONASS;GALILEO;BEIDOU;QZSS;NAVIC_IRNSS;SBAS;Tiene_PPP;PPP_H_cm;PPP_V_cm
GNSS-SOUTH-G1;true;false;220;8;true;false;true;false;0;403-470 MHz;5;7;790;10;8;15;1;1;2.5;5;0.5;0.5;129;129;112;true;true;true;true;true;false;true;false;;
GNSS-SOUTH-G6;true;false;336;8;true;false;true;true;0;403-473 MHz;6;15;850;10;8;15;1;1;3;3.5;0.1;0.4;152;152;137;true;true;true;true;true;true;true;false;;
GNSS-CHCNAV-I50;false;false;624;8;true;false;true;true;0;410-470 MHz;5;10;750;10;8;15;1;1;2.5;5;0.1;0.5;140;130;106;true;true;true;true;true;false;true;false;;
GNSS-CHCNAV-I73;true;false;624;8;false;false;false;false;0;410-470 MHz;5;24;780;10;8;15;1;1;2.5;5;0.5;0.5;119;119;85;true;true;true;true;true;false;true;false;;
GNSS-CHCNAV-I73PLUS;true;false;1408;8;false;false;false;false;0;410-470 MHz;6;24;750;10;8;15;1;1;2.5;5;0.1;0.5;119;119;85;true;true;true;true;true;true;true;false;;
GNSS-CHCNAV-I93;true;true;1408;32;true;false;false;false;5;410-470 MHz;6;15;950;10;8;15;1;1;2.5;5;0.1;0.5;152;152;81;true;true;true;true;true;true;true;true;10;20
GNSS-TRIMBLE-R8S;false;false;440;0.056;false;false;true;false;0;403-473 MHz;5;5.5;930;10;8;15;1;1;3;5;0.5;0.5;190;190;102;true;true;true;true;true;false;true;false;;
GNSS-TRIMBLE-R12I;true;false;672;6;true;false;true;false;0;403-473 MHz;6;6;890;10;8;15;1;1;3;5;0.5;0.5;119;119;136;true;true;true;true;true;true;true;false;;
GNSS-LEICA-GS16;false;false;555;8;true;false;true;false;0;403-470 MHz;6;7;1200;10;8;15;1;1;3;3.5;0.1;0.4;190;190;90;true;true;true;true;true;true;true;false;;
GNSS-LEICA-GS18;true;true;555;4;true;false;true;false;1.2;403-473 MHz;6;8;1030;10;8;15;1;1;3;3.5;0.1;0.4;173;173;108;true;true;true;true;true;true;true;true;2.5;5
GNSS-LEICA-GS18T;true;false;555;4;true;false;true;false;0;403-473 MHz / 902-928 MHz;6;16;1030;10;8;15;1;1;3;3.5;0.1;0.4;173;173;108;true;true;true;true;true;true;true;true;2.5;5
GNSS-EMLID-RS2;false;false;184;16;true;false;false;false;0;868/915 MHz;5;16;500;10;7;14;1;1;4;8;0.5;1;154;154;50;true;true;true;true;true;false;true;false;;
GNSS-EMLID-RS2PLUS;false;false;184;16;true;false;false;false;0;868/915 MHz;5;16;500;10;7;14;1;1;4;8;0.5;1;154;154;50;true;true;true;true;true;false;false;false;;
GNSS-EMLID-RS3;true;false;184;16;true;false;false;false;0;868/915 MHz;5;22;950;10;7;14;1;1;4;8;0.5;1;154;154;80;true;true;true;true;true;false;false;false;;
GNSS-SINGULARXYZ-X1;true;false;1408;8;true;false;true;;0;410-470 MHz;6;20;870;5;8;15;1;1;2.5;5;0.5;0.5;133.5;133.5;67;true;true;true;true;true;true;true;true;5;10
GNSS-SINGULARXYZ-X1-LITE;true;false;1408;8;false;false;true;;0;410-470 MHz;6;20;870;5;8;15;1;1;2.5;5;0.5;0.5;133.5;133.5;67;true;true;true;true;true;true;true;true;5;10
GNSS-SINGULARXYZ-ORION-ONE;true;false;1408;8;false;true;false;;0;410-470 MHz;6;12;547;5;8;15;1;1;2.5;5;0.5;0.5;107;107;58.7;true;true;true;true;true;true;true;true;5;10
GNSS-SINGULARXYZ-Z1;true;false;1408;8;false;false;;;0;410-470 MHz;6;15;547;5;8;15;1;1;2.5;5;0.5;0.5;107;107;58.7;true;true;true;true;true;true;true;true;5;10
GNSS-SINOGNSS-MARS-PRO;true;false;1668;32;true;true;true;true;0;410-470 MHz;6;20;1200;10;8;15;1;1;2.5;5;0.5;0.5;155;155;73;true;true;true;true;true;true;true;false;;
GNSS-SINOGNSS-T300PLUS;true;false;965;8;true;false;true;true;0;410-470 MHz;6;14;950;10;8;15;1;1;3;3.5;0.1;0.4;158;158;75;true;true;true;true;true;true;true;false;;
GNSS-SINOGNSS-JUPITER;true;true;1668;4;true;true;true;;2;410-470 MHz;6;16;810;5;8;15;1;1;2.5;5;0.5;0.5;133.5;133.5;66;true;true;true;true;true;true;true;false;;
GNSS-SINOGNSS-P6H;false;true;1590;64;true;false;false;;13;;6;20;310;5;8;15;1;1;2.5;5;1;1;181;83;17.4;true;true;true;true;true;true;true;true;20;
